Functional_Group SMARTS Type Alpha Alpha_stdev Beta Beta_stdev Heavy_atoms Number_of_donor_sites Number_of_acceptor_sites Acceptor_heavy_atom Donor_heavy_atom
Primary_aniline_para_halo c:1(:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[NX3]([H])[H])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[FClBrI] Both NA NA 4.09 0.21 N1 2 1 N N
Primary_aniline_meta_halo c:1(:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[NX3]([H])[H])[!F!Cl!Br!I!O!N])[FClBrI])[!F!Cl!Br!I!O!N] Both NA NA 3.59 0.12 N1 2 1 N N
Secondary_aniline_alkyl_alkyl c:1(:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[NX3]([CX4])[H])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Both 2.10 0.00 NA NA N1 1 1 N N
Secondary_aniline_alkyl_aryl c:1(:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[NX3](c:2:c(:c(:c(:c(:c:2[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[H])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Both 2.7 0.0 NA NA N1 1 1 N N
Tertiary_aniline_alkyl_alkyl c:1:c:c:c(:c:c:1)[NX3]([CX4])[CX4] Acceptor NA NA 4.55 0.49 N1 0 1 N None
Tertiary_aniline_aryl_aryl [NX3](c:1:c:c:c:c:c:1)(c:2:c:c:c:c:c:2)c:3:c:c:c:c:c:3 Acceptor NA NA 3.6 0.0 N1 0 1 N None
Aldehyde_alkyl C(=[OX1])([H])[CX4] Acceptor NA NA 4.62 0.08 O1 0 2 O None
Aldehyde_aryl C(=[OX1])([H])c Acceptor NA NA 4.8 0.0 O1 0 2 O None
Aldehyde_alkyl_sp2 C(=[OX1])([H])C=C Acceptor NA NA NA NA O1 0 2 O None
Cyclic_ketone [CX4R][CR](=[OX1])[CX4R] Acceptor NA NA 5.96 0.19 O1 0 2 O None
Cylohexene_one C1C=CC([CX4]C1)=[OX1] Acceptor NA NA 6.14 0.00 O1 0 2 O None
Acetophenone C(=[OX1])([CX4])c:1:c:c:c:c:c:1 Acceptor NA NA 5.75 0.17 O1 0 2 O None
Acylic_ketone_alkyl_alkyl C(=[OX1])([CX4!R]([!c])([!c])[!c])[CX4!R]([!c])([!c])[!c] Acceptor NA NA 5.68 0.07 O1 0 2 O None
Di_aryl_ketone C(=[OX1])(c:1:c:c:c:c:c:1)c:2:c:c:c:c:c:2 Acceptor NA NA 5.54 0.14 O1 0 2 O None
Di_benzyl_ketone [C!R](=[OX1])([CX4]c)([CX4]c) Acceptor NA NA 5.3 0.00 O1 0 2 O None
Mono_chloro_ketone [C!R](=[OX1])([CX4!R])C(Cl)([!F!Cl!Br!I!O!N!c])[!F!Cl!Br!I!O!N!c] Acceptor NA NA 4.53 0.00 O1 0 2 O None
tri_halo_ketone C(=[OX1])([CX4!R1])C([FClBrI])([FClBrI])([FClBrI]) Acceptor NA NA 3.00 0.09 O1 0 2 O None
Oxime [NX2](=C([cCX4])[cCX4])[OX2][H] Both 3.0 0.00 NA NA O1,N1 1 1 N O
Oxime_aryl c:1:c:c(:c:c:c:1)C([H])=[NX2][OX2][H] Both NA NA NA NA O1,N1 1 1 N O
O_aryl_substituted_oxime c[OX2][NX2]=C([cCX4])([cCX4]) Acceptor NA NA 4.77 0.00 O1,N1 0 1 N None
O_alky_substituted_oxime [CX4][OX2][NX2]=C([cCX4])([cCX4]) Acceptor NA NA 5.49 0.00 O1,N1 0 1 N None
O_alkyl_N_alkyl_N_aryl_substituted_oxime C([CX4])(c)(=[NX2][OX2]([CX4])) Acceptor NA NA NA NA O1,N1 0 1 N None
Carboxylic_acid_alkyl C(=[OX1])(O[H])[CX4] Both 3.45 0.16 4.9 0.00 O2 1 2 O O
Carboxylic_acid_aryl C(=[OX1])(O[H])[c] Both 3.76 0.00 4.9 0.00 O2 1 2 O O
Carboxylic_acid_sp2 C(=[OX1])(O[H])C=C Both NA NA NA NA O2 1 2 O O
Formic_acid C(=[OX1])(O[H])[H] Both NA NA NA NA O2 1 2 O O
Tertiary_amide_NN_alkyl [CX4]C(=[OX1])N([CX4])[CX4] Acceptor NA NA 8.16 0.38 O1,N1 0 2 O None
Tertiary_amide_NN_aryl [CX4]C(=[OX1])N(c)c Acceptor NA NA 7.13 0.22 O1,N1 0 2 O None
Tertiary_benzamide_NN_alkyl [c]C(=[OX1])N([CX4])[CX4] Acceptor NA NA 7.97 0.03 N1,O1 0 2 O None
Tertiary_benzamide_NN_aryl [c]C(=[OX1])N(c)[c] Acceptor NA NA NA NA N1,O1 0 2 O None
Tertiary_benzamide_N_alkyl_N_aryl [c]C(=[OX1])N(c)[CX4] Acceptor NA NA NA NA N1,O1 0 2 O None
Tertiary_formamide [H]C(=[OX1])N([Cc])[Cc] Acceptor NA NA 7.69 0.03 N1,O1 0 2 O None
Secondary_benzamide_N_alkyl C(=[OX1])(c)N([H])[CX4] Both NA NA 7.57 0.00 N1,O1 1 2 O N
Secondary_benzamide_N_aryl C(=[OX1])(c)N([H])c Both NA NA NA NA N1,O1 1 2 O N
Secondary_amide_N_alkyl C(=[OX1])([CX4])N([H])[CX4] Both 2.86 0.10 8.09 0.08 O1,N1 1 2 O N
Secondary_amide_N_aryl C(=[OX1])([CX4])N([H])c Both 3.3 0.0 NA NA O1,N1 1 2 O N
Secondary_formamide_N_aryl C(=[OX1])([H])N([H])c Both NA NA NA NA O1,N1 1 2 O N
Secondary_formamide_N_alkyl C(=[OX1])([H])N([H])[CX4] Both NA NA NA NA O1,N1 1 2 O N
Primary_amide_alkyl C(=[OX1])(N([H])[H])[Cc] Both NA NA NA NA O1,N1 2 2 O N
Tertiary_amide_N_OH C(=[OX1])(C)N([OX2][H])C Acceptor NA NA NA NA O2,N1 1 2 O N
Tertiary_amide_N_NH2 C(=[OX1])(C)N(N([H])([H]))C Acceptor NA NA NA NA O1,N2 2 2 O N
Tertiary_amide_N_NHC C(=[OX1])(C)N(N([H])([CX4]))[H] Acceptor NA NA NA NA O1,N2 1 2 O N
Tertiary_amide_N_NH C(=[OX1])(C)N(N([H])(C))C Both NA NA NA NA O1,N2 1 2 O N
Tertiary_amide_N_oxy C(=[OX1])(C)N(OC)C Acceptor NA NA NA NA O2,N1 0 2 O None
Hydrazide_1 C(=[OX1])([cC])N(N=C)[H] Both NA NA NA NA O1,N2 1 2 O N
Hydrazide_2 C(=[OX1])([cC])N([NX2]=C)[cC] Both NA NA NA NA O1,N2 0 2 O N
Hydrazide_3 C(=[OX1])(C1)N(N([cC])C1)[cC] Both NA NA NA NA O1,N2 0 2 O None
Sulphonohydrazide_aryl S(=[OX1])([Cc])(N([NX2]=C)[H])=O Both NA NA NA NA O2,S1,N2 1 2 O N
Imide_N_Aryl N(C(=[OX1])[!F!Br!Cl!I!O!N])([c])C(=[OX1])[!F!Br!Cl!I!O!N] Acceptor NA NA 5.93 0.22 O2,N1 0 2 O None
Imide_N_Alkyl N(C(=[OX1])[!F!Br!Cl!I!O!N])([CX4])C(=[OX1])[!F!Br!Cl!I!O!N] Acceptor NA NA 5.93 0.22 O2,N1 0 2 O None
Imide N(C(=[OX1])[!F!Br!Cl!I!O!N])([H])C(=[OX1])[!F!Br!Cl!I!O!N] Both NA NA NA NA O2,N1 1 2 O N
Tertiary_urea_11_33_dialkyl [CX4]N([CX4])C(=[OX1])N([CX4])[CX4] Acceptor NA NA 8.5 0.0 O1,N2 0 2 O None
Tertiary_urea_13_diary_13_dialkyl [c]N([CX4])C(=[OX1])N([CX4])[c] Acceptor NA NA 7.9 0.0 O1,N2 0 2 O None
Tertiary_urea_11_diaryl_33_dialkyl [c]N([c])C(=[OX1])N([CX4])[CX4] Acceptor NA NA 7.7 0.0 O1,N2 0 2 O None
Tertiary_urea_11_diaryl_33_diaryl [c]N([c])C(=[OX1])N([c])[c] Acceptor NA NA 6.9 0.0 O1,N2 0 2 O None
Urea_3 [CX4c]N([H])C(=[OX1])N([CX4c])[cCX4] Both NA NA NA NA O1,N2 1 2 O  N(C(=O)N([Cc])[H])([Cc])[H] Both NA NA NA NA O1,N2 2 2 O N
Urea_N_connected_to_NH N(C)(N[H])(C(=[OX1])(N(c)[H])) Both NA NA NA NA O1,N3 2 2 O N
Urea_6 C(N([H])[H])(=[OX1])N([cCX4])([cCX4]) Both NA NA NA NA O1,N2 2 2 O N
Nitrile_alkyl [NX1]#C[CX4]([!c!O!N!S!F!Br!Cl!I])([!c!O!N!S!F!Br!Cl!I])([!c!O!N!S!F!Br!Cl!I]) Acceptor NA NA 5.19 0.07 N1 0 2 N None
Nitrile_Aryl_no_halogens [NX1]#Cc:1:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N!c])[!F!Cl!Br!I!O!N!c])[!F!Cl!Br!I!O!N!c])[!F!Cl!Br!I!O!N!c])[!F!Cl!Br!I!O!N!c] Acceptor NA NA 4.92 0.07 N1 0 2 N None
Nitrile_aryl_para_halogens [NX1]#Cc:1:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N!c])[!F!Cl!Br!I!O!N!c])[FClBrI])[!F!Cl!Br!I!O!N!c])[!F!Cl!Br!I!O!N!c] Acceptor NA NA 4.59 0.09 N1 0 2 N None
Nitrile_benzyl [NX1]#C[CX4]c:1:c:c:c:c:c:1 Acceptor NA NA 4.8 0.0 N1 0 2 N None
Nitrile_ally [NX1]#CC(C=C)([!F!Cl!Br!I!O!N!c])[!F!Cl!Br!I!O!N!c] Acceptor NA NA 4.99 0.00 N1 0 2 N None
Nitrile_C=C [NX1]#CC=C Acceptor NA NA 4.61 0.00 N1 0 2 N None
Nitrile_chloro [NX1]#C[CX4]([Cl])([!F!Cl!Br!I!O!N!c])([!F!Cl!Br!I!O!N!c]) Acceptor NA NA 3.92 0.00 N1 0 2 N None
Nitrile_dichloro [NX1]#C[CX4]([Cl])([Cl])([!F!Cl!Br!I!O!N!c]) Acceptor NA NA 3.04 0.00 N1 0 2 N None
Phenol_no_subs c:1(:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[OX2][H])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Both 3.64 0.12 2.9 0.0 O1 1 1 O None
Phenol_2_halo c:1(:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[OX2][H])[FClBrI])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Both 4.02 0.00 NA NA O1 1 1 O O
Phenol_3_halo c:1(:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[OX2][H])[!F!Cl!Br!I!O!N])[FClBrI])[!F!Cl!Br!I!O!N] Both 4.18 0.05 NA NA O1 1 1 O O
Phenol_4_halo c:1(:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[OX2][H])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[FClBrI] Both 4.07 0.09 2.8 0.0 O1 1 1 O O
Nitro_alkyl N(=[OX1])(=[OX1])[CX4] Acceptor NA NA 3.88 0.15 N1,O2 0 4 O None
Nitro_aryl N(=[OX1])(=[OX1])[c] Acceptor NA NA 3.75 0.07 N1,O2 0 4 O None
Sulfoxide_dialkyl [SX3](=[OX1])([CX4])[CX4] Acceptor NA NA 8.68 0.08 S1,O1 0 2 O None
Sulfoxide_aryl_alkyl [SX3](=[OX1])([c])[CX4] Acceptor NA NA 7.83 0.00 S1,O1 0 2 O None
Sulfoxide_diaryl [SX3](=[OX1])([c])[c] Acceptor NA NA 7.63 0.2 S1,O1 0 2 O None
Thiol [CX4][SX2][H] Both 1.33 0.07 NA NA S1 1 2 S S
Thioamide_secondary_acyclic [C!R](=[SX1])([cCX4])N([CX4c])[H] Both 3.55 0.21 5.59 0.00 S1,N1 1 2 S N
Thioamide_secondary_cyclic [CR](=[SX1])([cCX4])N([CX4c])[H] Both 3.55 0.21 6.62 0.00 S1,N1 1 2 S N
Tertiary_thioformamide [H]C(=[SX1])N([CX4])[CX4] Acceptor NA NA 5.4 0.0 S1,N1 0 2 S None
Tertiary_thioamide C(=[SX1])([CX4])N([CX4])[CX4] Acceptor NA NA 6.0 0.0 S1,N1 0 2 S None
Tertiary_thiobenzamide C(=[SX1])(c)N([CX4])[CX4] Acceptor NA NA 5.45 0.21 S1,N1 0 2 S None
Phosphine_oxide_trialkyl [OX1]=[PX4]([CX4])([CX4])([CX4]) Acceptor NA NA 10.7 0.37 P1,O1 0 2 O None
Phosphine_oxide_triaryl [OX1]=[PX4]([c])([c])([c]) Acceptor NA NA 10.1 0.00 P1,O1 0 2 O None
Phosphine_oxide_diaryl_alkyl [PX4](=[OX1])([c])([c])([C]) Acceptor NA NA NA NA P1,O1 0 2 O None
Phosphine_oxide_dialkyl_aryl [PX4](=[OX1])([c])([C])([C]) Acceptor NA NA NA NA P1,O1 0 2 O None
Phospho_diester P(=[OX1])(OC)(OC)c Acceptor NA NA NA NA P1,O3 0 2 O None
Phosphine [PX3]([Cc])([Cc])[cC] Acceptor NA NA 5.52 0.0 P1 0 1 P None
Sulphone_alkyl_alkyl S(=[OX1])(=[OX1])([CX4])([CX4]) Acceptor NA NA 6.3 0.1 S1,O2 0 4 O None
Sulphone_alkyl_aryl S(=[OX1])(=[OX1])([c])([CX4]) Acceptor NA NA NA NA S1,O2 0 4 O None
Sulphone_aryl_aryl S(=[OX1])(=[OX1])([c])([c]) Acceptor NA NA 5.9 0.0 S1,O2 0 4 O None
Thioester C(=[OX1])([cCX4])S[cCX4] Acceptor NA NA 5.2 0.0 S1,O1 0 2 O None
Sulphonamide_secondary [cC]S(=[OX1])(=[OX1])N([H])([cC]) Both 3.1 0.12 5.85 0.00 S1,O2,N1 1 4 O N
Sulphonamide_aryl_primary S(=[OX1])(=[OX1])(N([H])[H])([cC]) Both NA NA NA NA S1,O2,N1 2 4 O N
Sulphonamide_tertiary_N_dialkyl S(=[OX1])(=[OX1])([CX4])N([CX4])([CX4]) Acceptor NA NA 5.95 0.00 S1,O2,N1 0 4 O None
Sulphonbenzamide_tertiary_N_dialkyl S(=[OX1])(=[OX1])([c])N([CX4])([CX4]) Acceptor NA NA 5.71 0.00 S1,N1,O2 0 4 O None
Sulphonbenzamide_tertiary_N_alkyl_N_aryl S(=[OX1])(=[OX1])([c])N([c])([CX4]) Acceptor NA NA NA NA S1,N1,O2 0 4 O None
Sulphonbenzamide_tertiary_N_diaryl S(=[OX1])(=[OX1])([c])N([c])([c]) Acceptor NA NA NA NA S1,N1,O2 0 4 O None
Sulphonamide_tertiary_N_alkyl_N_aryl S(=[OX1])(=[OX1])([CX4])N([c])([CX4]) Acceptor NA NA 5.22 0.00 S1,N1,O2 0 4 O None
Sulphonamide_tertiary_N_diaryl S(=[OX1])(=[OX1])([CX4])N([c])([c]) Acceptor NA NA NA NA S1,N1,O2 0 4 O None
Sulphinamide [SX3](=[OX1])(N([H])[cC])[cC] Both NA NA NA NA S1,O1,N1 0 2 O N
Sulphinamide_wierd S(=[OX1])([Cc])(=[OX1])[NX2]=C Acceptor NA NA NA NA S1,O2,N1 0 4 O None
Sulphonate_Ester S(=[OX1])(=[OX1])([cC])O[cC] Acceptor NA NA NA NA S1,O3 0 4 O None
Sulphonate_diester S(=[OX1])(=[OX1])(O[Cc])O[Cc] Acceptor NA NA 4.8 0.0 S1,O4 0 4 O None
Thioether [CX4][SX2][CX4] Acceptor NA NA 3.61 0.1 S1 0 2 S None
Thioether_aryl_alkyl [CX4][SX2]c Acceptor NA NA NA NA S1 0 1 S None
Thioether_aryl_aryl c[SX2]c Acceptor NA NA NA NA S1 0 1 S None
Thiophenol c:1:c:c:c(:c:c:1)[SX2][H] Both 1.4 0.00 NA NA S1 1 1 S S
Carbamate_secondary_N_aryl_O_alkyl [OX2](C(=[OX1])N([H])[c])[CX4] Both 2.82 0.0 NA NA O2,N1 1 2 O N
Carbamate_secondary_N_alkyl_O_alkyl O(C(=[OX1])N([H])[CX4])[CX4] Both NA NA NA NA O2,N1 1 2 O N
Carbamate_secondary_N_aryl_O_aryl O(C(=[OX1])N([H])[c])[c] Both NA NA NA NA O2,N1 1 2 O N
Carbamate_secondary_N_alkyl_O_aryl O(C(=[OX1])N([H])[CX4])[c] Both NA NA NA NA O2,N1 1 2 O N
Carbamate_tertairy_NN_alkyl_O_alkyl O(C(=[OX1])N([CX4])[CX4])[CX4] Acceptor NA NA 7.2 0.17 O2,N1 0 2 O None
Carbamate_tertairy_NN_aryl_O_aryl O(C(=[OX1])N([c])[c])[c] Acceptor NA NA 5.70 0.00 O2,N1 0 2 O None
Carbamate_tertairy_NN_aryl_O_alkyl O(C(=[OX1])N([c])[c])[CX4] Acceptor NA NA 6.25 0.07 O2,N1 0 2 O None
Carbamate_Primary C(=[OX1])(N([H])[H])O[cC] Both NA NA NA NA O2,N1 0 2 O N
Carbamate_wierd O(C(=[OX1])N([NX2]=C)[H])C Both NA NA NA NA O2,N2 0 2 O N
Thiocyanate [CX4]SC#[NX1] Acceptor NA NA 4.5 0.21 N1,S1 0 1 N None
Isothiocyanate [cCX4][NX2]=C=[SX2] Acceptor NA NA 2.9 0.0 N1,S1 0 1 N None
Pyridine [nX2]1c(c(c(c(c1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Acceptor NA NA 7.4 0.48 N1 0 1 N None
Pyrimidine c1([nX2]c([nX2]c(c1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Acceptor NA NA 5.88 0.63 N2 0 2 N None
Triazine c:1(:[nX2]:c(:[nX2]:c(:[nX2]:1)[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Acceptor NA NA 3.77 0.00 N3 0 3 N None
Thiourea C(=[SX1])(N([cC])[H])N([cC])[H] Both NA NA NA NA S1,N2 2 2 S N
Thiourea_N_alkyl_NN_alkyl C(=[SX1])(N([cC])[H])N([cC])[cC] Both 3.03 0.0 7.51 0.00 S1,N2 1 2 S N
Thiourea_tertiary C(=[SX1])(N([cCX4])[cCX4])N([cCX4])[cCX4] Acceptor NA NA 5.99 0.07 S1,N2 0 2 S None
Wierd_thiourea C(=[SX1])(N(C)[H])N(N=C)[H] Both NA NA NA NA S1,N3 0 2 S N
Imine_N_aryl_1 [cCX4][N!R]=C([cCX4])[cCX4] Acceptor NA NA NA NA N1 0 1 N None
Furan_1 [OX2]1C=CC=C1 Acceptor NA NA 2.2 0.0 O1 0 1 O None
Thiophene [SX2]1C=CC=C1 Acceptor NA NA 2.2 0.0 S1 0 1 S None
Imidazole N1(C(=[NX2]C(=C1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[H] Both NA NA 8.85 0.27 N2 1 1 N N
N_substituted_imidazole N1(C(=[NX2]C(=C1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[cCX4] Acceptor NA NA NA NA N2 0 1 N None
Aryl_imidazole c:1:c2:c(:c:c:c:1)[NX2]=CN2[H] Both NA NA NA NA N2 1 1 N None
N_sustitued_aryl_imidazole c:1:c2:c(:c:c:c:1)[NX2]=CN2([cCX4]) Acceptor NA NA NA NA N2 1 1 N None
Oxadiazole_1 [NX2]1=C[OX2]C=[NX2]1 Acceptor NA NA NA NA N2,O1 0 2 N None
Oxadiazole_2 [NX2]1=C[NX2]=C[OX2]1 Acceptor NA NA NA NA N2,O1 0 2 N None
Thiazole [SX2]1C(=C([NX2]=C1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Acceptor NA NA 7.28 0.00 S1,N1 0 1 N None
Benzathiazole c:1:c2:c(:c:c:c:1)[NX2]=C[SX2]2 Acceptor NA NA 6.06 0.0 N1,S1 0 1 N None
isothiazole [SX2]1[NX2]=CC=C1 Acceptor NA NA NA NA S1,N1 0 1 N None
Isoxazole [OX2]1[NX2]=C(C(=C1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Acceptor NA NA 4.7 0.0 O1,N1 0 1 N None
Oxazole [OX2]1C=C[NX2]=C1 Acceptor NA NA 5.77 0.00 O1,N1 0 1 N None
Pyrazole [NX2]1=CC=CN1[H] Both 3.53 0.0 7.15 0.00 N2 1 1 N N
Pyrazole_N_alkyl_aryl [NX2]1=CC=CN1[cC] Acceptor NA NA NA NA N2 0 1 N None
Triazole_1_2_3 [NX2]1=CC=[NX2][NX3]1[H] Both 4.14 0.28 NA NA N3 1 2 N N
Triazole_1_N_aryl_or_alkyl [NX2]1=CC=[NX2]N1[cC] Acceptor NA NA 6.98 0.48 N3 0 2 N N
Triazole_2 C1=C[NX2]=[NX2][NX3]1([H]) Both 4.14 0.28 7.0 0.0 N3 1 2 N N
Triazole_2_N_alky_or_aryl C1=C[NX2]=[NX2]N1([cC]) Acceptor NA NA 7.0 0.00 N3 0 2 N None
Triazole_3 C1=[NX2]C=[NX2][NX3]1[H] Both 3.08 0.0 7.0 0.0 N3 1 2 N N
Triazole_3_N_alky_or_aryl C1=[NX2]C=[NX2]N1[cC] Acceptor NA NA 7.0 0.0 N3 0 2 N None
Triazole_4 C1=[NX2][NX2]=C[NX3]1[H] Both 4.1 0.0 7.0 0.0 N3 1 2 N N
Tetrazole [NX2]1=[NX2][NX2]=CN1[H] Both 4.97 0.0 NA NA N4 1 3 N N
Tetrazole_2 [NX3]1([NX2]=[NX2]C=[NX2]1)[cC] Acceptor NA NA NA NA N4 0 4 N None
Fluoro_alkyl F[CX4]([!F!Cl!Br!I])([!F!Cl!Br!I])[!F!Cl!Br!I] Acceptor NA NA 3.1 0.17 None 0 1 F None
Fluoro_aryl cF Acceptor NA NA 1.6 0.0 None 0 1 F None
